ID;Vertice;N;E
326;F99-M-0200;8147230,99;674566,93
327;F99-M-0201;8147361,39;674564,41
328;F99-M-0202;8147496,24;674585,10
329;F99-M-0203;8147505,98;674601,95
330;F99-M-0204;8147516,84;674669,56
331;F99-M-0205;8147531,29;674694,16
332;F99-M-0206;8147644,13;674826,76
333;F99-M-0207;8147677,49;674929,18
334;F99-M-0208;8147732,05;674944,24
335;F99-M-0209;8147775,06;674962,28
336;F99-M-0210;8147821,52;674976,06
337;F99-M-0211;8147855,03;674980,38
338;F99-M-0212;8147887,71;674980,17
339;F99-M-0213;8147906,42;674985,14
340;F99-M-0214;8147922,59;674996,57
341;F99-M-0215;8147939,11;675024,08
342;F99-M-0216;8147959,93;675121,84
343;F99-P-1485;8147969,94;675122,06
344;F99-P-1486;8147975,82;675122,74
345;F99-P-1487;8147992,31;675124,19
346;F99-P-1488;8148007,93;675131,70
347;F99-P-1489;8148039,00;675135,47
348;F99-P-1490;8148053,66;675139,07
349;F99-P-1491;8148051,53;675150,05
350;F99-P-1492;8148037,26;675170,94
351;F99-P-1493;8148036,38;675179,69
352;F99-P-1494;8148056,71;675183,39
353;F99-P-1495;8148084,28;675195,35
354;F99-P-1496;8148104,71;675192,31
355;F99-P-1497;8148108,64;675182,60
356;F99-P-1498;8148090,17;675166,20
357;F99-P-1499;8148103,75;675156,69
358;F99-P-1500;8148143,30;675169,74
359;F99-P-1501;8148162,74;675179,05
360;F99-P-1502;8148173,01;675206,96
361;F99-P-1503;8148236,96;675202,07
362;F99-P-1504;8148279,83;675200,86
363;F99-P-1505;8148310,04;675195,43
364;F99-P-1506;8148340,39;675201,32
365;F99-P-1507;8148344,10;675196,39
366;F99-P-1508;8148381,99;675187,66
367;F99-P-1509;8148442,83;675164,16
368;F99-P-1510;8148482,98;675134,86
369;F99-P-1511;8148512,17;675104,84
370;F99-P-1512;8148518,10;675086,13
371;F99-P-1513;8148541,38;675047,06
372;F99-P-1514;8148553,86;674961,69
373;F99-P-1515;8148566,79;674956,20
374;F99-P-1516;8148633,34;675004,05
375;F99-P-1517;8148652,14;675029,27
376;F99-P-1518;8148674,64;674980,48
377;F99-P-1519;8148661,73;674959,07
378;F99-P-1520;8148662,29;674880,54
379;F99-P-1521;8148650,39;674874,72
380;F99-P-1522;8148608,66;674843,90
381;F99-P-1523;8148608,34;674828,17
382;F99-P-1524;8148621,76;674819,82
383;F99-P-1525;8148618,32;674790,60
384;F99-P-1526;8148584,61;674747,98
385;F99-P-1527;8148572,81;674747,71
386;F99-P-1528;8148564,86;674727,81
387;F99-P-1529;8148590,75;674698,45
388;F99-P-1530;8148593,39;674678,33
389;F99-P-1531;8148578,13;674648,94
390;F99-P-1532;8148582,32;674613,56
391;F99-P-1533;8148572,26;674580,24
392;F99-P-1534;8148563,21;674551,11
393;F99-P-1535;8148580,81;674533,92
394;F99-P-1536;8148608,38;674528,46
395;F99-P-1537;8148664,97;674533,46
396;F99-P-1538;8148683,05;674508,88
397;F99-P-1539;8148758,93;674473,26
398;F99-P-1540;8148796,75;674404,57
399;F99-P-1541;8148805,59;674385,93
400;F99-P-1542;8148849,05;674355,74
401;F99-P-1543;8148880,35;674371,67
402;F99-P-1544;8148886,60;674397,03
403;F99-P-1545;8148871,62;674409,44
